18.01:19;133
18.01:20;134
18.01:21;135
18.01:22;136
18.01:23;137
18.02:39;373
18.02:40;375
18.02:41;377
18.02:42;379
18.02:43;381
18.02:44;383
18.02:45;385
18.02:46;387
18.02:47;389
18.02:48;391
18.02:49;393
18.02:50;395
18.02:51;397
18.02:52;399
18.02:53;401
18.02:54;403
18.03:49;593
18.03:50;595
18.03:51;597
18.03:52;599
18.03:53;606
18.03:54;611
18.03:55;616
18.03:56;621
18.03:57;626
18.03:58;631
18.03:59;636
18.04:00;641
18.04:01;646
18.04:02;651
18.04:03;656
18.04:04;661
18.04:05;666
18.04:06;671
18.04:07;676
18.04:08;681
18.04:09;686
18.04:10;691
18.04:11;696
18.04:12;701
18.04:13;706
18.04:14;711
18.04:15;716
18.04:16;721
18.04:17;726
18.04:18;731
18.04:19;736
18.04:20;741
18.04:21;746
18.04:22;751
18.04:23;756
18.04:24;761
18.04:25;766
18.04:26;771
18.04:27;776
18.04:28;781
18.04:29;786
18.04:30;791
18.04:31;796
18.04:32;801
18.04:33;806
18.04:34;811
18.04:35;816
18.04:36;821
18.10:15;6
18.10:16;107
18.10:17;108
18.10:18;109
18.10:19;110
18.10:20;111
18.10:21;112
18.10:22;113
18.10:23;114
18.10:24;115
18.10:25;116
18.10:26;117
18.10:27;118
