22.54:36;597
22.54:37;599
22.54:38;606
22.55:02;651
22.55:03;656
22.55:04;661
22.57:07;188
22.57:08;189
22.57:09;190
22.57:10;191
22.57:11;192
22.57:12;193
22.57:13;194
22.57:14;195
22.57:15;196
22.57:16;197
22.57:17;198
22.57:18;199
22.57:19;200
22.57:20;201
22.57:21;202
22.57:22;203
22.57:23;204
22.57:24;205
22.57:25;206
22.57:26;207
22.57:27;208
22.57:28;209
22.57:29;210
22.57:30;211
22.59:04;445
22.59:05;447
22.59:06;449
22.59:07;451
22.59:08;453
22.59:09;455
22.59:10;457
22.59:51;591
22.59:52;593
22.59:53;595
22.59:54;597
22.59:55;599
22.59:56;606
22.59:57;611
22.59:58;616
22.59:59;621
23.00:00;626
23.00:01;631
23.00:02;636
23.00:03;641
23.00:04;646
23.00:05;651
23.00:06;656
23.02:32;201
23.02:33;202
23.02:34;203
23.02:35;204
23.02:36;205
23.02:37;206
23.02:38;207
23.02:40;208
23.02:41;209
23.02:42;210
23.02:43;211
23.02:44;212
23.02:45;213
23.02:46;214
23.02:47;215
23.02:48;216
23.02:49;217
23.02:51;218
23.02:52;219
23.02:53;220
23.03:52;221
23.03:53;222
23.03:54;223
23.03:55;224
23.03:56;225
23.03:57;226
23.03:58;227
